q1,q2,p
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
How is the chemical formula of hydrochloric sodium determined?,What is the chemical formula for sodium hydrogen sulfide? How is it determined?,0
As a 12 year old how do I make myself grow taller naturally?,My 12 year old daughter started her period this year. Will she still grow taller?,0
What is a loan of syndicate bank?,How do you syndicate a loan?,0
Can eating junk foods and fast foods affect my mental health?,What can be the health affects if you eat fast food everyday?,0
Is it the dark matter that is helping universe to expand?,Does dark matter increase as the universe expand?,0
How do you defeat someone in an argument?,How does one destroy someone in an argument?,0
"How can I turn $10,000 into $1,000,000 in one to five years?","How can I turn $10,000 into $10 million in a short amount of time?",0
What is the right age to get marry for a women?,"What, according to you, is the right age to marry?",0
How do I get over my ex-best friend?,How can I get over best friends?,0
What is the best way to buy a used Porsche 911?,Where is the best place to buy a used Porsche 911?,0
What the purpose of life on earth?,What according to YOU is the purpose of life?,0
Can someone read my palm and make correct predictions?,Can someone read my palm?,0
"I want to invest Rs 20,000 in mutual fund. Which mutual fund is best to invest?",Which is the best mutual funds to invest in India?,0
Can I loose 35 pounds in month?,How can I lose weight quickly?,0
Where can I find family health insurance quotes in Virginia?,Where can I find Family Health insurance quotes in the US?,0
What is your base salary expectations?,What is a base salary?,0
Is life just?,Is life just a process?,0
