q1,q2,p
What do you think of the move of banning 500 and 1000 rupee notes in India (Nov 2016)?,What do you think of PM's decision on the banning of 500 and 100 rupee notes?,1
Human Body: Why do I feel sleepy in the morning even after getting six hours of sleep?,Why do I feel tired in the morning even after getting proper sleep?,1
How do I log in my Facebook account if you forgot your password?,How can I deactivate a Facebook account if I forgot the email address and the password?,1
Which book makes/changed your life?,What was the best book that changed your life?,1
What is the best way to reduce anxiety?,What can I do to overcome anxiety?,1
How much time will spotify take to land in India?,When will Spotify launch it's services in INDIA?,1
Can we time travel?,Is time traveling possible in future?,1
"How much should I need to study in 11 and 12 grade (cbse) to qualify for the entrance exam for engineering in PES university,Banglore?",Why do people dislike making a scene?,1
How can I speaking fluently speaking English?,How do I improve my pronunciation in English?,1
Should Hillary Clinton drop out after the FBI re-opened its investigation?,"Should Hillary Clinton step aside, amidst the FBI investigation for the good of the DNC?",1
What are some sites that aggregate YouTube videos?,Is it possible to block ads on YouTube video on-site?,1
"Can I create a Wikipedia page about myself, blowing my own trumpet?",How can I create a Wikipedia page for myself?,1
What are some ways to make a mini projector?,How can I make a mini projector?,1
Do bad people like sweet food?,Do people who hate sweet foods exist?,1
Why is it named as Quora?,Why does Quora site named by that name?,1
How can I get a list of my Gmail addresses?,How can you find all of your Gmail accounts?,1
What is the difference between humans and the other animals?,What separates humans from animals?,1
How could the US electoral voting system be changed?,"What changes, if any, need to be made in the US electoral system?",1
